,index,coordinates,codeInsee,nom,adresse_ligne01,adresse_ligne02,adresse_ligne03,adresse_code_postal,adresse_commune,adresse_coordonnees,telephone,e_mail,url,zonage_commune
1144,permanence_juridique-10261-01,"[4.497653, 47.979091]",10261,Point-justice - Point d'accès au droit de la Mairie de Mussy-sur-Seine,7 rue de l'Hôtel de Ville,,,10250,MUSSY SUR SEINE,"[4.497653, 47.979091]",03 25 38 40 10,,,['10261 Mussy-sur-Seine']
1145,permanence_juridique-10358-01,"[4.21713, 48.172271]",10358,Point-justice - Point d'accès au droit de la Mairie de Saint-Parres-les-Vaudes,24 rue Georges Furier,,,10260,ST PARRES LES VAUDES,"[4.21713, 48.172271]",03 25 40 96 17,,,['10358 Saint-Parres-lès-Vaudes']
1146,permanence_juridique-10387-03,"[4.06685, 48.307349]",10387,Point-justice - Point d'accès au droit de l'Unité Locale de la Croix Rouge française de Troyes,18 rue Louis Dumont,,,10000,TROYES,"[4.06685, 48.307349]",03 25 76 16 08,,,['10387 Troyes']
1147,permanence_juridique-10030-01,"[4.033032, 48.336596]",10030,Point-justice - Point d'accès au droit de la Mairie de Barberey-Saint-Sulpice,14 rue Robert Baudoin,,,10600,BARBEREY ST SULPICE,"[4.033032, 48.336596]",03 25 76 67 93,,,['10030 Barberey-Saint-Sulpice']
1148,permanence_juridique-10233-01,"[3.889546, 48.508146]",10233,Point-justice - Point d'accès au droit de la Mairie de Méry-sur-Seine,rue de l'Hôtel de Ville,,,10170,MERY SUR SEINE,"[3.889546, 48.508146]",03 25 21 20 42,,,['10233 Méry-sur-Seine']
1149,permanence_juridique-10207-01,"[3.913502, 48.553772]",10207,Point-justice - Point d'accès au droit de la Mairie de Longueville-sur-Aube,rue du Calvaire,,,10170,LONGUEVILLE SUR AUBE,"[3.913502, 48.553772]",03 25 21 10 49,,,['10207 Longueville-sur-Aube']
1150,permanence_juridique-10401-01,"[4.465614, 48.237714]",10401,Point-justice - Point d'accès au droit de la Mairie de Vendeuvre-sur-Barse,place du 11 novembre,,,10140,VENDEUVRE SUR BARSE,"[4.465614, 48.237714]",03 25 41 30 20,,,['10401 Vendeuvre-sur-Barse']
1151,permanence_juridique-10387-02,"[4.078757, 48.283727]",10387,Point-justice - Point d'accès au droit de Y Schools,217 avenue Pierre Brossolette,,,10000,TROYES,"[4.078757, 48.283727]",03 25 71 22 22,,,['10387 Troyes']
1152,permanence_juridique-10141-01,"[4.537654, 48.057605]",10141,Point-justice - Point d'accès au droit de la Mairie d'Essoyes,place de la Mairie,,,10360,ESSOYES,"[4.537654, 48.057605]",03 25 29 60 47,,,['10141 Essoyes']
1153,permanence_juridique-10194-01,"[4.706913, 48.301182]",10194,Point-justice - Point d'accès au droit de la Mairie de Lévigny,place de la Mairie,,,10200,LEVIGNY,"[4.706913, 48.301182]",03 25 92 77 34,,,['10194 Lévigny']
1154,permanence_juridique-10387-01,"[4.069168, 48.297127]",10387,Point-justice - Point d'accès au droit du tribunal judiciaire de Troyes,85 rue du Gal de Gaulle,,,10000,TROYES,"[4.069168, 48.297127]",03 25 43 55 70,,,['10387 Troyes']
1155,permanence_juridique-10018-01,"[3.918073, 48.106311]",10018,Point-justice - Point d'accès au droit de la Mairie d'Auxon,rue de la Mairie,,,10130,AUXON,"[3.918073, 48.106311]",03 25 42 11 61,,,['10018 Auxon']
1156,permanence_juridique-10317-01,"[4.365831, 47.991861]",10317,Point-justice - Point d'accès au droit de la Mairie des Riceys,35 rue du Gal de Gaulle,,,10340,LES RICEYS,"[4.365831, 47.991861]",03 25 29 30 32,,,['10317 Les Riceys']
1157,permanence_juridique-10387-04,"[4.075145, 48.293859]",10387,Point-justice - Point d'accès au droit de la Maison de l'Adolescence de l'Aube de Troyes,5 rue du Gros Raisin,,,10000,TROYES,"[4.075145, 48.293859]",03 25 71 88 20,,,['10387 Troyes']
1158,permanence_juridique-10372-02,"[4.729714, 48.374626]",10372,Point-justice - France services,144 route Nationale,,,10200,SOULAINES DHUYS,"[4.729714, 48.374626]",09 75 27 74 78,,,['10372 Soulaines-Dhuys']
1159,permanence_juridique-97125-01,"[-61.272014, 16.263617]",97125,Point-justice - Point d’accès au droit de Saint-François,"CCAS de St François, Hôtel de Ville – place de l’Eglise",,,97118,ST FRANCOIS,"[-61.272014, 16.263617]",05 90 85 58 15,,,['97125 Saint-François']
1160,permanence_juridique-97105-01,"[-61.731164, 15.997832]",97105,Point-justice - Point d’accès au droit de Basse-Terre,20 rue Peynier,,,97100,BASSE TERRE,"[-61.731164, 15.997832]",05 90 81 25 92,,,['97105 Basse-Terre']
1161,permanence_juridique-97131-01,"[-61.583346, 15.864826]",97131,Point-justice - France services,31 rue Emmanuel Laurent,,,97137,TERRE DE HAUT,"[-61.583346, 15.864826]",05 90 41 02 90,,,['97131 Terre-de-Haut']
1162,permanence_juridique-97117-02,"[-61.347905, 16.332119]",97117,Point-justice - Point d’accès au droit du Moule,"7 rue Joffre ( Ancien greffe Annexe 2, à côté de la Mairie)",,,97160,LE MOULE,"[-61.347905, 16.332119]",05 90 93 05 11,,,['97117 Le Moule']
1163,permanence_juridique-97120-01,"[-61.533067, 16.238148]",97120,"Point-justice - Point d’accès au droit 
De Pointe-à-Pitre","Maison de la citoyenneté, 16, rue du Commandant Mortenol",(Prolongement rue passant devant la sous-préfecture),,97110,POINTE A PITRE,"[-61.533067, 16.238148]",05 90 21 04 83,,,['97120 Pointe-à-Pitre']
1164,permanence_juridique-97117-01,"[-61.346147, 16.333001]",97117,Point-justice - France services,48 rue Saint Jean,,,97160,LE MOULE,"[-61.346147, 16.333001]",05 90 23 09 31,,,['97117 Le Moule']
1165,permanence_juridique-27679-01,"[0.932933, 48.740363]",27679,Point-justice - Point d'accès au droit de Verneuil d'Avre et d'Iton,"MJC - centre social, 103, avenue Maurice de Vlaminck",,,27130,VERNEUIL D AVRE ET D ITON,"[0.932933, 48.740363]",06 21 39 67 77,,,['27679 Verneuil-sur-Avre']
1166,permanence_juridique-27681-01,"[1.479472, 49.081774]",27681,Point-justice - France services,10 rue des grands renards – VERNON,,,27220,VERNON,"[1.479472, 49.081774]",02 32 64 21 30,,,['27681 Vernon']
